Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,Elite%
D,28906,Trent Alexander-Arnold,6.5,6.5,LIV,86,79,72,70,70,70,0,0,0,0,0,0,4.767568513970873,4.438020886432006,3.328925764111515,3.974454423057365,3.919612268204296,3.6526892417004495,0,0,0,0,0,0,0
M,88531,Morgan Gibbs-White,6.5,6.5,FOR,84,83,80,78,76,76,0,0,0,0,0,0,4.327299364006688,4.3610464747296085,4.555336798288902,3.1039737543703585,3.4941599302362176,4.198741214720283,0,0,0,0,0,0,0
G,3584409,Guglielmo Vicario,5.0,5.0,TOT,94,92,92,92,91,92,0,0,0,0,0,0,4.339651305910695,4.148679025560968,3.7455804740192593,3.606560123,4.071550527293428,4.021243867540624,0,0,0,0,0,0,0
G,131313,Emiliano MartAnez,5.0,5.0,AVL,94,93,92,91,90,90,0,0,0,0,0,0,3.830733378377943,3.439365117009209,4.083119889417796,3.947823049,4.052729555479157,4.261431958282302,0,0,0,0,0,0,0
G,23433,Jordan Pickford,5.0,5.0,EVE,94,93,92,92,92,92,0,0,0,0,0,0,4.140433147,3.6240525069930656,3.971414594586903,3.6482344911153417,4.152650500879057,4.027867122241753,0,0,0,0,0,0,0
G,183126,Alphonse Areola,4.5,4.5,WHU,92,92,90,88,88,87,0,0,0,0,0,0,3.9283180627056633,4.047270212568661,3.901841179734928,4.019522712285007,3.717587198683885,3.8244867566595646,0,0,0,0,0,0,0
M,283021,Luis DAaz,8.0,8.0,LIV,67,64,63,61,61,60,0,0,0,0,0,0,4.216917957780267,4.173433121732613,3.626442151088941,3.870038805439527,3.889736987719396,3.608172545310452,0,0,0,0,0,0,0
M,1214404,Alejandro Garnacho,7.0,7.0,MUN,80,78,75,74,73,72,0,0,0,0,0,0,4.481153179687572,3.6757207158936738,3.449556234902753,4.162495953156151,3.5170917994437496,3.844726597951295,0,0,0,0,0,0,0
M,132974,Rodri,7.0,7.0,MCI,84,83,80,80,81,79,0,0,0,0,0,0,3.5729987942902084,4.804963415506862,3.8867802807146985,4.210279070146057,3.156151852605122,3.495334913596196,0,0,0,0,0,0,0
G,3879516,Mads Hermansen,4.5,4.5,LEI,94,92,90,90,89,89,0,0,0,0,0,0,3.851657430174328,4.058409515934431,3.7698238704867295,3.8834287458907895,3.925871763553466,3.595527664148082,0,0,0,0,0,0,0
G,231959,JosA SA,4.5,4.5,WOL,94,92,92,91,91,92,0,0,0,0,0,0,3.757785408,3.770921890645652,3.830050559126717,3.7577785630112728,3.807065131380101,3.927783274132533,0,0,0,0,0,0,0
G,23024,Alex McCarthy,4.0,4.0,SOU,93,94,92,92,92,91,0,0,0,0,0,0,3.5489279519119505,3.756031230743535,3.666459382242692,3.819242367,4.324745324,3.689047263964138,0,0,0,0,0,0,0
M,283020,Bruno GuimarAes,6.5,6.5,NEW,90,87,83,81,82,82,0,0,0,0,0,0,4.725538570244784,3.700341383074721,3.804599667721829,3.7670903954600057,3.7014424410487385,3.028814164873661,0,0,0,0,0,0,0
M,163914,Alexis Mac Allister,6.0,6.0,LIV,88,86,84,83,82,84,0,0,0,0,0,0,4.013387406016975,3.961918348914203,3.4899157059250783,3.7524632546490464,3.7141754962994487,3.623679734507202,0,0,0,0,0,0,0
M,3584407,Christopher Nkunku,7.0,7.0,CHE,70,69,67,65,65,62,0,0,0,0,0,0,3.1101088131875763,4.083749961535176,4.081562622995559,3.551501082920557,3.9155497850913257,3.784546430288136,0,0,0,0,0,0,0
M,192214,Bryan Mbeumo,7.0,7.0,BRE,77,73,73,70,71,70,0,0,0,0,0,0,4.113874220217867,3.094229579590315,4.596010423305314,2.629262515626007,3.4317080441498367,4.228611305344836,0,0,0,0,0,0,0
M,131333,John McGinn,6.0,6.0,AVL,88,86,83,83,81,82,0,0,0,0,0,0,3.833868493903655,2.8264355052207666,3.739997714755862,3.761048515880456,3.942628679,3.8879723605422303,0,0,0,0,0,0,0
M,1783652,Kaoru Mitoma,6.5,6.5,BHA,82,79,78,75,73,72,0,0,0,0,0,0,3.7101300684922434,4.216512413,2.6235475086621576,4.489206977715911,3.7556133936920992,3.187179857811567,0,0,0,0,0,0,0
M,96761,Dwight McNeil,6.0,6.0,EVE,87,84,81,80,79,79,0,0,0,0,0,0,3.9107790314343287,3.4454855248577165,3.7633134,3.4089150488485696,3.724259748,3.660814310301773,0,0,0,0,0,0,0
D,1677493,William Saliba,6.0,6.0,ARS,92,88,87,85,85,83,0,0,0,0,0,0,4.500164718334338,3.236478032288702,4.027722752954274,2.944296947087946,2.441611161,4.354386152388278,0,0,0,0,0,0,0
D,23238,Virgil van Dijk,6.0,6.0,LIV,91,88,85,83,82,82,0,0,0,0,0,0,4.032307585621886,3.8333397981868313,3.014395189433705,3.6700481077825664,3.563678980372332,3.3731109319506376,0,0,0,0,0,0,0
M,23326,Alex Iwobi,5.5,5.5,FUL,80,78,75,76,74,74,0,0,0,0,0,0,3.456574278057471,3.990537632138903,3.637896246066029,3.8047571940114255,3.332264946986632,3.1206460255634423,0,0,0,0,0,0,0
