ID,Name,Team,Pos,Value,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,total_pts
45106.0,Mohamed Salah,LIV,M,12.0,83,7.10753484443671,75,6.750427752152084,67,5.409507545166549,69,6.092051890005253,67,6.0751549048754345,66,5.549512935321529,36.98418987195756
106430.0,Bukayo Saka,ARS,M,10.5,83,7.461099207135466,84,5.581299928629393,83,6.577959664590415,84,5.565800827481547,85,4.103282329092079,81,7.255474579889995,36.544916536818896
1677501.0,Erling Haaland,MCI,F,14.0,87,5.93246559737103,80,7.980614997876219,77,6.172376980150293,75,6.561787376723085,75,4.234845123705642,74,5.322056031313387,36.20414610713966
23472.0,Son Heung-min,TOT,M,9.5,90,6.540361317367112,86,6.44914002052072,85,5.566348925675053,86,4.283783134609284,84,6.449468187931616,84,5.910779548137984,35.199881134241764
242906.0,Cole Palmer,CHE,M,10.0,87,4.399586206099502,83,5.90827189845496,80,5.750699765755081,80,5.16163142081611,81,5.92469063079038,80,5.830105900775199,32.97498582269123
201990.0,Martin Ødegaard,ARS,M,8.0,90,6.629354920532976,88,5.086051911303524,86,5.741784853495604,87,4.946503498790205,85,3.7516356338440255,84,6.339690091359446,32.49502090932578
160701.0,Bruno Fernandes,MUN,M,8.5,91,6.201716272238527,88,4.937115031111518,87,4.685524036805962,85,5.6651260719457195,85,4.785113968869041,84,5.435337071454992,31.709932452425758
183114.0,Ollie Watkins,AVL,F,9.5,90,5.461825209163799,88,3.7748616272350857,87,5.328385071719887,85,5.212059050848116,86,5.841189569164158,85,5.4205880772401915,31.038908605371233
55898.0,Phil Foden,MCI,M,10.0,80,4.819199535052462,76,6.634445609807009,74,5.138919948477189,72,5.6101880482988316,72,3.7275059826360257,72,4.5434576780470834,30.4737168023186
180321.0,Eberechi Eze,CRY,M,7.0,83,4.5169785397887185,79,5.376492893101895,78,4.029161467021004,75,5.102571998590651,76,4.908815158328851,76,4.119888134957717,28.053908191788842
192208.0,David Raya,ARS,G,6.0,93,5.056308210475863,92,4.35673829799568,91,4.8643762758033,91,4.224612067433016,89,3.983080372937295,89,5.005521469792622,27.490636694437775
230753.0,Dominic Solanke,BOU,F,7.5,91,4.505154513855708,87,4.8549277194995755,86,4.3295763961769635,84,4.584200528869829,82,3.69611704803333,81,5.178593903921879,27.148570110357284
90826.0,Alisson,LIV,G,6.0,93,4.796427296156245,92,4.470231896558103,92,4.308046298682805,92,4.4204610165895195,92,4.477826090557192,92,4.4675891720781,26.940581770621968
161049.0,Jarrod Bowen,WHU,M,8.0,89,5.217718439228966,86,4.437167054133272,84,3.6379350544102405,83,4.533937411674247,82,4.586329200790805,81,4.3975068705734985,26.81059403081103
2200000.0,Alexander Isak,NEW,F,8.5,85,5.756048760947861,82,4.269397010266646,79,4.710000185562533,76,4.357039527984858,76,4.166878401545327,77,3.3614056695221524,26.62076955582938
23161.0,Kevin De Bruyne,MCI,M,9.0,75,4.185577599363835,68,5.484776641529467,66,4.285844245519302,67,4.811707624391648,68,3.3241675312833907,64,3.7746928718261197,25.866766513913763
45084.0,Pascal Groß,BHA,M,7.0,88,4.279963783863765,84,4.778016761637318,84,3.060264725390023,82,5.209255148753223,81,4.41169688905229,81,3.783170150992893,25.522367459689512
24087.0,Nick Pope,NEW,G,5.5,94,4.643244840877826,93,4.2215709612401815,91,4.019717217287779,91,4.294207046620427,91,4.272848501726809,92,4.017754369661232,25.469342937414257
192217.0,Ivan Toney,BRE,F,7.5,91,4.636002806839139,87,3.52635301734933,84,5.149842088068409,84,2.9999769266226775,85,4.019853027665887,83,4.9971853910782755,25.32921325762372
242870.0,Anthony Gordon,NEW,M,8.0,85,5.3713398515239685,84,3.9982430164744,80,4.293448005939379,81,4.252846764591123,79,4.005764520496334,78,3.094157791860469,25.015799950885672
88472.0,Bernd Leno,FUL,G,5.0,94,4.155622265433079,93,4.473710278635008,92,4.504036790606792,92,4.113456692982244,91,3.8342183671141985,92,3.9166693723510675,24.99771376712239
32973.0,Declan Rice,ARS,M,7.0,79,4.674859305491758,84,4.013136117382431,82,4.410707798985069,81,3.8087425176107628,80,3.1139407703283397,79,4.776838791605106,24.798225301403466
3556534.0,Mark Flekken,BRE,G,4.5,94,4.252385276689342,92,4.020521731221359,92,4.456624533849937,91,3.942060448854729,92,3.89727859194573,92,4.1385819655219445,24.70745254808304
3628569.0,André Onana,MUN,G,5.5,93,4.270234710356467,93,4.2394095072069415,92,3.957142791456714,92,4.278292860223888,91,4.018445382316292,91,3.8480076193515744,24.611532870911876
3763426.0,Matz Sels,FOR,G,4.5,93,4.055731437927437,93,4.213658695712753,92,4.240127239151784,91,3.694449736512427,91,4.001463243988133,91,4.127488722827209,24.332919076119744
181081.0,Gabriel Dos Santos,ARS,D,6.0,90,5.258489732965291,86,3.6895605452361027,81,4.441747504845662,81,3.312180212586597,78,2.547005176648586,77,4.877340467042291,24.12632363932453
182529.0,Kai Havertz,ARS,F,8.5,78,5.001124481020477,76,3.8647739978266666,74,4.263079513582615,72,3.6227639363789788,69,2.6982635413074596,70,4.668332818740339,24.11833828885653
28906.0,Trent Alexander-Arnold,LIV,D,6.5,86,4.767568513970873,79,4.438020886432006,72,3.328925764111515,70,3.9744544230573644,70,3.919612268204296,70,3.6526892417004495,24.081271097476506
88531.0,Morgan Gibbs-White,FOR,M,6.5,84,4.327299364006688,83,4.3610464747296085,80,4.555336798288902,78,3.1039737543703585,76,3.4941599302362176,76,4.198741214720283,24.040557536352058
