Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
F,82.0,Dominic Solanke,7.5,7.5,Bournemouth,91,4.505154513855708,87,4.854927719499576,86,4.329576396176964,84,4.584200528869829,82,3.69611704803333,81,5.178593903921879,0,0,0,0,0,0,0,0,0,0,0,0
G,310.0,Alisson,6.0,6.0,Liverpool,93,4.796427296156245,92,4.470231896558103,92,4.308046298682805,92,4.42046101658952,92,4.477826090557192,92,4.4675891720781,0,0,0,0,0,0,0,0,0,0,0,0
M,514.0,Jarrod Bowen,8.0,8.0,West Ham,89,5.217718439228966,86,4.437167054133272,84,3.637935054410241,83,4.533937411674247,82,4.586329200790805,81,4.3975068705734985,0,0,0,0,0,0,0,0,0,0,0,0
F,401.0,Alexander Isak,8.5,8.5,Newcastle,85,5.756048760947861,82,4.269397010266646,79,4.710000185562533,76,4.357039527984858,76,4.166878401545327,77,3.3614056695221524,0,0,0,0,0,0,0,0,0,0,0,0
M,345.0,Kevin De Bruyne,9.0,9.0,Man City,75,4.185577599363835,68,5.484776641529467,66,4.285844245519302,67,4.811707624391648,68,3.3241675312833907,64,3.77469287182612,0,0,0,0,0,0,0,0,0,0,0,0
M,,Pascal Groß,7.0,7.0,Brighton,88,4.279963783863765,84,4.778016761637318,84,3.060264725390023,82,5.209255148753223,81,4.41169688905229,81,3.783170150992893,0,0,0,0,0,0,0,0,0,0,0,0
G,413.0,Nick Pope,5.5,5.5,Newcastle,94,4.643244840877826,93,4.2215709612401815,91,4.019717217287779,91,4.294207046620427,91,4.272848501726809,92,4.017754369661232,0,0,0,0,0,0,0,0,0,0,0,0
F,108.0,Ivan Toney,7.5,7.5,Brentford,91,4.636002806839139,87,3.52635301734933,84,5.149842088068409,84,2.999976926622677,85,4.019853027665887,83,4.997185391078276,0,0,0,0,0,0,0,0,0,0,0,0
M,398.0,Anthony Gordon,8.0,8.0,Newcastle,85,5.3713398515239685,84,3.9982430164744,80,4.293448005939379,81,4.252846764591123,79,4.005764520496334,78,3.094157791860469,0,0,0,0,0,0,0,0,0,0,0,0
G,248.0,Bernd Leno,5.0,5.0,Fulham,94,4.155622265433079,93,4.473710278635008,92,4.504036790606792,92,4.113456692982244,91,3.8342183671141994,92,3.916669372351068,0,0,0,0,0,0,0,0,0,0,0,0
M,16.0,Declan Rice,7.0,7.0,Arsenal,79,4.674859305491758,84,4.013136117382431,82,4.410707798985069,81,3.8087425176107623,80,3.11394077032834,79,4.776838791605106,0,0,0,0,0,0,0,0,0,0,0,0
G,91.0,Mark Flekken,4.5,4.5,Brentford,94,4.252385276689342,92,4.020521731221359,92,4.456624533849937,91,3.942060448854729,92,3.89727859194573,92,4.1385819655219445,0,0,0,0,0,0,0,0,0,0,0,0
G,383.0,André Onana,5.5,5.5,Man Utd,93,4.270234710356467,93,4.2394095072069415,92,3.957142791456714,92,4.278292860223888,91,4.018445382316292,91,3.8480076193515744,0,0,0,0,0,0,0,0,0,0,0,0
G,443.0,Matz Sels,4.5,4.5,Nott'm Forest,93,4.055731437927437,93,4.213658695712753,92,4.240127239151784,91,3.694449736512427,91,4.001463243988133,91,4.127488722827209,0,0,0,0,0,0,0,0,0,0,0,0
D,3.0,Gabriel Dos Santos,6.0,6.0,Arsenal,90,5.258489732965291,86,3.689560545236103,81,4.441747504845662,81,3.312180212586597,78,2.547005176648586,77,4.877340467042291,0,0,0,0,0,0,0,0,0,0,0,0
F,4.0,Kai Havertz,8.5,8.5,Arsenal,78,5.001124481020477,76,3.864773997826666,74,4.263079513582615,72,3.6227639363789783,69,2.69826354130746,70,4.668332818740339,0,0,0,0,0,0,0,0,0,0,0,0
D,311.0,Trent Alexander-Arnold,6.5,6.5,Liverpool,86,4.767568513970873,79,4.438020886432006,72,3.328925764111515,70,3.974454423057365,70,3.919612268204296,70,3.6526892417004495,0,0,0,0,0,0,0,0,0,0,0,0
M,433.0,Morgan Gibbs-White,6.5,6.5,Nott'm Forest,84,4.327299364006688,83,4.3610464747296085,80,4.555336798288902,78,3.1039737543703585,76,3.4941599302362176,76,4.198741214720283,0,0,0,0,0,0,0,0,0,0,0,0
G,508.0,Guglielmo Vicario,5.0,5.0,Spurs,94,4.339651305910695,92,4.148679025560968,92,3.7455804740192593,92,3.60656012343005,91,4.071550527293428,92,4.021243867540624,0,0,0,0,0,0,0,0,0,0,0,0
G,47.0,Emiliano Martínez,5.0,5.0,Aston Villa,94,3.830733378377943,93,3.439365117009209,92,4.083119889417796,91,3.94782304942631,90,4.052729555479157,90,4.261431958282302,0,0,0,0,0,0,0,0,0,0,0,0
G,235.0,Jordan Pickford,5.0,5.0,Everton,94,4.14043314671996,93,3.6240525069930656,92,3.971414594586903,92,3.6482344911153417,92,4.152650500879057,92,4.027867122241753,0,0,0,0,0,0,0,0,0,0,0,0
G,513.0,Alphonse Areola,4.5,4.5,West Ham,92,3.9283180627056633,92,4.047270212568661,90,3.901841179734928,88,4.019522712285007,88,3.717587198683885,87,3.8244867566595646,0,0,0,0,0,0,0,0,0,0,0,0
M,327.0,Luis Díaz,8.0,8.0,Liverpool,67,4.216917957780267,64,4.173433121732613,63,3.626442151088941,61,3.870038805439527,61,3.889736987719396,60,3.608172545310452,0,0,0,0,0,0,0,0,0,0,0,0
M,372.0,Alejandro Garnacho,7.0,7.0,Man Utd,80,4.481153179687572,78,3.6757207158936738,75,3.449556234902753,74,4.162495953156151,73,3.5170917994437496,72,3.844726597951295,0,0,0,0,0,0,0,0,0,0,0,0
M,360.0,Rodri,7.0,7.0,Man City,84,3.5729987942902084,83,4.804963415506862,80,3.8867802807146985,80,4.210279070146057,81,3.156151852605122,79,3.495334913596196,0,0,0,0,0,0,0,0,0,0,0,0
